Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.5,24.1,25.9,27.7,29.7,31.9,35.5,37.7,39.2
Nicaragua,NIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.7,24.6,30.4,33.9,37.8,42.2,47.1,49.1,58.2
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.7,90.4,93.2,91.9,93.3,91.3,92.1,92.5,97.0
Norway,NOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.8,97.3,96.4,96.5,98.0,94.6,99.0,99.0,99.0
Nepal,NPL,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.6,20.7,24.3,28.6,33.3,38.9,45.3,53.9,55.8
Nauru,NRU,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.2,59.7,62.4,70.27,74.7,81.7,84.3,85.47,87.1
New Zealand,NZL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.2,86.5,87.7,89.0,89.9,95.2,96.1,96.2,96.2
OECD members,OED,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Oman,OMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.5,76.8,80.2,85.5,90.3,95.2,95.2,95.2,95.3
Other small states,OSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Pakistan,PAK,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.0,12.4,13.8,15.3,17.1,18.9,21.4,24.2,27.4
